Date and Time (UTC),Receiver,Transmitter,Transmitter Name,Transmitter Serial,Sensor Value,Sensor Unit,Station Name,Latitude,Longitude
2010-08-20 11:01:02,VR2W-110764,A69-1303-46863,,,,,JWS_Santa_Monica_Pier,+34.00716,-118.49899
2010-08-23 13:23:41,VR2W-110764,A69-1303-46862,,,,,JWS_Santa_Monica_Pier,+34.00716,-118.49899
2010-08-23 13:26:53,VR2W-110764,A69-1303-46862,,,,,JWS_Santa_Monica_Pier,+34.00716,-118.49899
2010-08-27 18:28:53,VR2W-110764,A69-1303-46862,,,,,JWS_Santa_Monica_Pier,+34.00716,-118.49899
2010-09-09 15:48:40,VR2W-110764,A69-1303-46862,,,,,JWS_Santa_Monica_Pier,+34.00716,-118.49899
2010-09-09 15:50:52,VR2W-110764,A69-1303-46862,,,,,JWS_Santa_Monica_Pier,+34.00716,-118.49899
2010-09-09 15:52:13,VR2W-110764,A69-1303-46862,,,,,JWS_Santa_Monica_Pier,+34.00716,-118.49899
2010-09-09 15:53:51,VR2W-110764,A69-1303-46862,,,,,JWS_Santa_Monica_Pier,+34.00716,-118.49899
2010-09-09 15:56:06,VR2W-110764,A69-1303-46862,,,,,JWS_Santa_Monica_Pier,+34.00716,-118.49899
2010-09-11 22:25:26,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-11 22:41:51,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-11 22:48:25,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-11 22:54:40,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-11 22:57:30,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-11 23:00:08,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-11 23:02:19,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-11 23:03:40,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-11 23:05:16,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-11 23:07:26,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-11 23:08:43,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-11 23:10:12,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-11 23:12:08,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-11 23:14:55,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-11 23:17:26,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-11 23:19:26,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-11 23:22:21,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-11 23:25:08,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-11 23:27:38,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-11 23:29:34,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-11 23:32:23,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-11 23:34:58,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-11 23:37:05,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-11 23:38:16,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-11 23:39:33,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-11 23:41:05,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-11 23:43:04,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-11 23:45:58,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-11 23:48:44,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-11 23:53:03,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-12 00:01:23,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-12 00:08:35,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-12 00:27:39,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-12 02:43:37,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-12 02:46:01,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-12 02:56:54,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-12 02:58:15,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-12 02:59:53,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-12 03:03:27,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-12 03:07:19,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-12 03:08:43,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-12 03:12:53,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-12 03:14:40,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-12 03:17:11,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-12 03:27:08,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-12 03:28:50,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-12 04:16:18,VR2W-110771,A69-1303-46863,,,,,JWS_Will_Rogers1,+34.03082,-118.54152
2010-09-12 04:19:02,VR2W-110771,A69-1303-46863,,,,,JWS_Will_Rogers1,+34.03082,-118.54152
2010-09-12 04:20:54,VR2W-110771,A69-1303-46863,,,,,JWS_Will_Rogers1,+34.03082,-118.54152
2010-09-12 04:23:36,VR2W-110771,A69-1303-46863,,,,,JWS_Will_Rogers1,+34.03082,-118.54152
2010-09-12 04:25:55,VR2W-110771,A69-1303-46863,,,,,JWS_Will_Rogers1,+34.03082,-118.54152
2010-09-12 05:04:52,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-12 05:06:15,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-12 05:07:58,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-12 05:10:20,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-12 05:12:00,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-12 05:14:17,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-12 05:15:47,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-12 05:17:44,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-12 05:20:33,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-12 05:23:08,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-12 05:25:14,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-12 05:26:24,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-12 05:27:39,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-12 05:29:05,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-12 05:30:54,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-12 05:49:01,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-12 06:00:18,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-12 06:09:50,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-12 06:11:04,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-12 06:14:17,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-12 06:16:48,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-12 06:18:47,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
2010-09-12 06:21:42,VR2W-110770,A69-1303-46863,,,,,JWS_Will_Rogers2,+34.03679,-118.54838
