Affiliation,Principle Investigator,Project,Common Name,Scientific Name,Tag ID,Date Tagged,Weight (g),Total Length (cm),Standard Length (cm),Fork Length (cm),Gender,Tagging Latitude,Tagging Longitude
CSULB,Chris Lowe,Sport Fish Species - Wheeler North Artificial Reef,California Sheephead,Semicossyphus pulcher,A69-1601-19992,9/28/14,520,,24,,F,,
CSULB,Chris Lowe,Sport Fish Species - Wheeler North Artificial Reef,California Sheephead,Semicossyphus pulcher,A69-1601-20021,10/19/14,700,,28,,F,,
CSULB,Chris Lowe,Sport Fish Species - Wheeler North Artificial Reef,California Sheephead,Semicossyphus pulcher,A69-1601-20036,10/25/14,600,,26,,F,,
CSULB,Chris Lowe,Sport Fish Species - Wheeler North Artificial Reef,California Sheephead,Semicossyphus pulcher,A69-1601-20078,11/8/14,400,,22,,F,,
CSULB,Chris Lowe,Sport Fish Species - Wheeler North Artificial Reef,California Sheephead,Semicossyphus pulcher,A69-1601-20079,11/8/14,760,,28,,F/transitional,,
CSULB,Chris Lowe,Sport Fish Species - Wheeler North Artificial Reef,California Sheephead,Semicossyphus pulcher,A69-1601-20083,11/18/14,380,,22,,F,,
CSULB,Chris Lowe,Sport Fish Species - Wheeler North Artificial Reef,California Sheephead,Semicossyphus pulcher,A69-1601-20084,12/7/14,820,,28.5,,F,,
CSULB,Chris Lowe,Sport Fish Species - Wheeler North Artificial Reef,California Sheephead,Semicossyphus pulcher,A69-1601-20085,12/7/14,880,,29,,transitional,,
CSULB,Chris Lowe,Sport Fish Species - Wheeler North Artificial Reef,California Sheephead,Semicossyphus pulcher,A69-1601-20086,12/7/14,500,,23.5,,F,,
CSULB,Chris Lowe,Sport Fish Species - Wheeler North Artificial Reef,California Sheephead,Semicossyphus pulcher,A69-1601-20087,12/7/14,1250,,32.5,,M,,
CSULB,Chris Lowe,Sport Fish Species - Wheeler North Artificial Reef,California Sheephead,Semicossyphus pulcher,A69-1601-20089,1/31/15,480,,25.2,,F,,
CSULB,Chris Lowe,Sport Fish Species - Wheeler North Artificial Reef,California Sheephead,Semicossyphus pulcher,A69-1601-20090,1/31/15,460,,24.1,,F,,
CSULB,Chris Lowe,Sport Fish Species - Wheeler North Artificial Reef,California Sheephead,Semicossyphus pulcher,A69-1601-20088,1/31/15,1150,,31.5,,M,,
CSULB,Chris Lowe,Sport Fish Species - Wheeler North Artificial Reef,California Sheephead,Semicossyphus pulcher,A69-1601-20091,2/14/15,720,,27.5,,F,,
CSULB,Chris Lowe,Sport Fish Species - Wheeler North Artificial Reef,California Sheephead,Semicossyphus pulcher,A69-1601-20092,2/15/15,240,,18.5,,F,,
CSULB,Chris Lowe,Sport Fish Species - Wheeler North Artificial Reef,California Sheephead,Semicossyphus pulcher,A69-1601-20094,2/21/15,580,,25,,F,,
CSULB,Chris Lowe,Sport Fish Species - Wheeler North Artificial Reef,California Sheephead,Semicossyphus pulcher,A69-1601-20093,2/21/15,820,,29.5,,transitional,,
CSULB,Chris Lowe,Sport Fish Species - Wheeler North Artificial Reef,California Sheephead,Semicossyphus pulcher,A69-1601-20095,2/21/15,1220,,32.5,,F,,
CSULB,Chris Lowe,Sport Fish Species - Wheeler North Artificial Reef,California Sheephead,Semicossyphus pulcher,A69-1601-20096,2/21/15,520,,24,,F,,
CSULB,Chris Lowe,Sport Fish Species - Wheeler North Artificial Reef,California Sheephead,Semicossyphus pulcher,A69-1601-20097,2/21/15,1020,,31.3,,transitional,,
CSULB,Chris Lowe,Sport Fish Species - Wheeler North Artificial Reef,California Sheephead,Semicossyphus pulcher,A69-1601-20098,2/21/15,560,,26.5,,F,,
CSULB,Chris Lowe,Sport Fish Species - Wheeler North Artificial Reef,California Sheephead,Semicossyphus pulcher,A69-1601-20099,2/22/15,1100,,33,,transitional,,
CSULB,Chris Lowe,Sport Fish Species - Wheeler North Artificial Reef,California Sheephead,Semicossyphus pulcher,A69-1601-20100,2/22/15,2700,,41.5,,M,,
CSULB,Chris Lowe,Sport Fish Species - Wheeler North Artificial Reef,California Sheephead,Semicossyphus pulcher,A69-1601-20101,2/22/15,1090,,32.5,,M,,
CSULB,Chris Lowe,Sport Fish Species - Wheeler North Artificial Reef,California Sheephead,Semicossyphus pulcher,A69-1601-20102,2/22/15,1850,,37,,M,,
CSULB,Chris Lowe,Sport Fish Species - Wheeler North Artificial Reef,California Sheephead,Semicossyphus pulcher,A69-1601-20103,3/7/15,980,,29.5,,F,,
CSULB,Chris Lowe,Sport Fish Species - Wheeler North Artificial Reef,California Sheephead,Semicossyphus pulcher,A69-1601-20104,3/7/15,1090,,30.5,,transitional,,
CSULB,Chris Lowe,Sport Fish Species - Wheeler North Artificial Reef,California Sheephead,Semicossyphus pulcher,A69-1601-20105,3/7/15,620,,25,,F,,
CSULB,Chris Lowe,Sport Fish Species - Wheeler North Artificial Reef,California Sheephead,Semicossyphus pulcher,A69-1601-20106,3/7/15,860,,29.5,,transitional,,
CSULB,Chris Lowe,Sport Fish Species - Wheeler North Artificial Reef,California Sheephead,Semicossyphus pulcher,A69-1601-20110,3/8/15,1240,,33.5,,M,,
CSULB,Chris Lowe,Sport Fish Species - Wheeler North Artificial Reef,California Sheephead,Semicossyphus pulcher,A69-1601-20111,3/8/15,2500,,41,,M,,
CSULB,Chris Lowe,Sport Fish Species - Wheeler North Artificial Reef,California Sheephead,Semicossyphus pulcher,A69-1601-20112,3/8/15,920,,30,,transitional,,
